sample_id	age	genotype	new_annotation	entropy
126	14mos	CD70-/-	3_Activated CTLs	1.38629436111989
126	14mos	CD70-/-	0_Naïve	3.53598308231342
126	14mos	CD70-/-	1_CM/EM	3.96331192876576
126	14mos	CD70-/-	8_Precursor exhausted CTLs	1.6094379124341
126	14mos	CD70-/-	5_Other	1.09861228866811
126	14mos	CD70-/-	13_Early exhausted CTLs	1.09861228866811
126	14mos	CD70-/-	2_Exhausted CTLs	NA
126	14mos	CD70-/-	9_Non-exhausted effectors	NA
035	14mos	Bcl6tg/+	2_Exhausted CTLs	1.94591014905531
035	14mos	Bcl6tg/+	6_CM/EM	NA
035	14mos	Bcl6tg/+	1_CM/EM	NA
035	14mos	Bcl6tg/+	5_Other	NA
035	14mos	Bcl6tg/+	7_CM/EM	NA
035	14mos	Bcl6tg/+	3_Activated CTLs	NA
035	14mos	Bcl6tg/+	4_Naïve	NA
035	14mos	Bcl6tg/+	9_Non-exhausted effectors	NA
035	14mos	Bcl6tg/+	0_Naïve	NA
035	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	1.09861228866811
035	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	NA
035	14mos	Bcl6tg/+	13_Early exhausted CTLs	NA
031	14mos	Bcl6tg/+	3_Activated CTLs	2.39360589641978
031	14mos	Bcl6tg/+	2_Exhausted CTLs	2.79149266683603
031	14mos	Bcl6tg/+	11_Cycling	2.09814738913507
031	14mos	Bcl6tg/+	5_Other	1.03972077083992
031	14mos	Bcl6tg/+	8_Precursor exhausted CTLs	1.81430751960713
031	14mos	Bcl6tg/+	1_CM/EM	2.63905732961526
031	14mos	Bcl6tg/+	4_Naïve	1.94591014905531
031	14mos	Bcl6tg/+	13_Early exhausted CTLs	1.03972077083992
031	14mos	Bcl6tg/+	7_CM/EM	1.6094379124341
031	14mos	Bcl6tg/+	0_Naïve	2.83321334405622
031	14mos	Bcl6tg/+	9_Non-exhausted effectors	1.09861228866811
031	14mos	Bcl6tg/+	6_CM/EM	1.6094379124341
031	14mos	Bcl6tg/+	16_Terminally exhausted CTLs	1.32966134885476
032b	14mos	Bcl6tg/+	6_CM/EM	1.56071040904141
